time_ms,press_sum_norm,area_ratio,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,data201,data202,data203,data204,data205,data206,data207,data208,data209,data210,data211,data212,data213,data214,data215,data216,data217,data218,data219,data220,data221,data222,data223,data224,data225,data226,data227,data228,data229,data230,data231,data232,data233,data234,data235,data236,data237,data238,data239,data240,data241,data242,data243,data244,data245,data246,data247,data248,data249,data250,data251,data252,data253,data254,data255
1760755553144,0.000494,0.000000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,4,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,3,1,1,1,1,80,5,1,2,0,1,1,1,0,1,1,2,1,0,1,1,20,8,0,0,0,0,1,1,1,1,1,2,1,1,0,1,7,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,3,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,2,0,1,1,1,1,1,0,0,1,18,1,1,1,1,1,1,0,0,0,4,3,0,1,1,1,15,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,10,1,1,1,1,14,8,2,7,0,1,1,45,1,1,1,6,1,1,1,1,13,1,1,1,0,0,0,13,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,6,1,1,1,2,1,1,1,1,4,1,1,1,0,1,1,3,1,0,1,3,1,1,0,1,2,1,1,1,1,0,1,1
1760755553359,0.000487,0.000000,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,6,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,5,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,4,1,1,0,1,80,3,1,3,0,0,1,0,1,1,1,2,0,0,1,1,18,12,0,1,0,1,1,0,1,1,0,1,1,1,0,1,8,6,1,1,0,0,1,1,1,0,0,1,1,0,1,1,2,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,2,1,0,1,0,1,3,0,1,0,1,1,0,1,1,1,24,1,2,1,1,0,2,0,1,0,5,3,0,1,1,0,16,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,11,1,1,1,1,15,9,1,3,1,1,1,39,0,1,1,6,1,1,1,1,13,0,1,1,0,0,1,14,1,1,1,4,1,1,1,1,5,0,1,1,0,1,1,8,1,1,0,2,1,1,1,1,4,1,1,1,0,1,1,4,0,1,1,2,1,0,1,1,3,1,1,1,0,1,1,2
1760755553664,0.000480,0.000000,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,8,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,5,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,5,1,1,1,1,79,5,0,7,0,0,1,0,1,1,0,2,1,1,1,1,19,11,1,1,0,0,0,0,1,1,1,2,1,0,1,1,5,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,3,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,2,1,1,0,0,0,0,1,1,3,27,1,1,1,1,1,2,0,1,0,5,3,0,1,1,2,19,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,10,1,1,1,1,13,8,0,6,1,0,1,34,1,1,0,5,1,0,1,1,11,1,1,1,1,1,1,14,1,1,1,3,0,1,1,1,5,1,0,1,0,1,0,5,1,1,0,2,0,1,1,1,3,0,0,1,0,1,1,3,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,2
1760755554000,0.000451,0.000000,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,0,1,8,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,4,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,4,1,1,1,1,81,0,0,6,0,1,1,0,1,0,1,2,1,1,1,1,17,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,3,0,1,0,1,1,0,0,1,1,1,1,1,1,1,2,2,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,2,3,30,0,1,0,0,1,2,0,1,1,5,3,1,1,1,1,18,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,11,1,1,0,1,14,15,1,8,0,1,0,22,1,1,1,5,1,1,1,1,8,5,0,1,0,0,0,6,0,0,1,3,0,1,0,1,4,3,1,1,0,0,1,3,0,1,1,1,1,1,0,1,3,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
1760755554362,0.000466,0.000000,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,8,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,5,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,3,0,1,1,2,76,7,0,10,1,0,1,1,1,0,1,2,1,0,1,1,15,6,0,1,0,1,0,0,1,1,0,1,1,1,1,1,7,4,0,1,0,0,1,1,1,2,1,1,1,1,0,1,2,2,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,1,1,3,24,1,1,1,1,1,2,1,1,0,4,3,0,1,1,2,17,1,1,0,0,1,1,1,1,0,0,1,1,1,2,1,10,1,1,1,1,15,15,1,8,0,0,1,22,1,1,1,6,1,0,1,1,10,2,0,1,0,1,1,10,1,1,0,3,1,0,1,1,6,1,1,1,0,0,1,4,1,1,1,2,1,1,1,1,4,1,1,1,0,1,1,2,0,0,1,2,1,1,0,1,2,1,0,1,1,1,1,1
1760755554790,0.000466,0.000000,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,9,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,0,1,1,1,2,0,0,1,1,3,1,1,0,1,58,8,0,7,0,0,1,0,1,1,1,2,1,0,1,1,18,7,1,1,0,1,1,0,1,1,1,2,0,1,1,1,7,3,0,1,0,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,2,1,0,1,1,1,2,0,1,1,1,1,1,1,2,1,36,1,1,0,1,1,1,0,1,0,4,4,1,1,1,1,19,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,12,1,1,0,1,13,8,1,7,0,0,1,17,0,1,0,8,1,1,1,1,10,1,0,1,0,0,1,11,1,1,1,4,1,1,1,1,7,0,1,1,0,0,1,3,1,2,1,3,1,1,0,1,5,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,3,1,0,1,0,1,1,2
1760755555105,0.000441,0.000000,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,8,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,5,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,5,1,1,1,1,51,6,0,6,0,1,1,0,0,1,1,2,1,0,1,1,16,6,1,1,0,0,1,1,1,1,1,2,1,0,1,1,7,4,1,1,1,1,2,0,1,1,1,2,1,0,1,1,2,2,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,1,2,0,0,0,1,1,0,1,1,1,32,1,1,0,1,1,2,0,1,0,5,5,1,1,0,1,17,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,12,1,1,1,1,14,4,0,4,0,0,1,17,1,1,1,6,1,0,1,1,12,0,1,1,0,1,1,8,1,1,1,4,1,0,0,1,8,1,0,1,0,0,0,4,1,1,1,2,0,2,1,1,5,1,0,1,1,1,0,3,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,2
1760755555509,0.000473,0.000000,0,2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,6,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,4,1,0,1,1,1,0,1,1,0,1,1,1,1,2,1,4,0,1,2,1,76,8,1,6,1,0,1,0,1,0,1,2,1,0,1,1,17,8,0,1,1,1,1,0,1,1,1,1,1,1,1,1,8,4,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,2,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,4,1,1,1,0,1,1,1,1,2,22,1,1,1,1,1,2,1,0,0,4,4,0,1,1,3,16,2,1,0,1,0,1,1,1,0,1,1,0,1,1,1,8,1,1,1,1,14,11,1,2,0,0,1,17,1,1,1,6,1,0,1,1,12,4,1,1,1,0,1,8,2,1,1,4,1,0,1,0,7,2,1,1,0,0,1,4,2,1,1,1,2,1,1,1,5,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,3,0,1,1,0,1,1,1
1760755555815,0.000460,0.000000,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,4,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,3,1,1,1,1,59,3,1,2,0,0,1,0,1,1,1,2,1,1,0,1,18,8,1,1,0,0,1,0,1,1,1,1,1,1,1,1,8,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,4,2,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,2,1,0,1,1,1,3,0,1,1,1,1,0,1,1,2,23,1,2,1,0,1,2,0,1,1,5,5,1,0,1,3,18,1,0,1,1,1,2,0,1,1,1,1,0,1,1,2,10,1,1,1,1,7,16,0,7,0,0,1,18,1,0,0,6,1,1,1,1,9,5,1,1,0,1,1,9,1,0,1,4,1,1,1,1,7,3,0,1,0,1,1,3,1,1,1,2,1,1,1,1,3,2,0,1,0,1,1,2,1,1,1,2,2,0,1,1,3,1,1,1,1,1,1,2
1760755556224,0.000476,0.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,3,1,1,1,1,78,5,1,2,1,1,1,1,1,1,1,1,1,0,1,1,20,9,1,1,0,0,1,1,1,1,1,1,1,0,0,1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,3,1,1,0,1,1,0,1,1,5,27,2,1,1,1,1,3,0,1,1,4,5,0,1,0,2,16,1,1,1,1,1,2,0,1,1,0,1,1,1,1,1,10,1,1,1,1,6,15,0,6,1,1,2,19,1,0,0,5,1,1,1,1,8,5,1,1,1,0,0,7,1,0,1,3,1,1,1,1,4,2,0,1,1,0,1,4,1,1,1,1,0,1,1,1,4,3,0,1,1,0,1,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,2
